Tanggal,Gula Pasir (Rp),Gula Merah (Rp),Kelapa (Rp),Beras Ketan (Rp),Vanili Bubuk (Rp),Daun Jagung (Rp),Jumlah Produksi,Gaji Karyawan,"Biaya Overhead (Listrik, Gas, Plastik dll)",Nama Toko,Total Biaya Produksi/Hari
2024-01-01,412.5,166.4,350.0,192.0,30.0,150.0,5,250.0,193.5,Legieta,6948.0
2024-01-02,412.5,166.4,350.0,192.0,30.0,150.0,4,250.0,193.5,Legieta,5647.1
2024-01-03,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-04,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-05,412.5,166.4,350.0,192.0,30.0,150.0,5,250.0,193.5,Legieta,6948.0
2024-01-06,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-07,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-08,412.5,166.4,350.0,192.0,30.0,150.0,4,250.0,193.5,Legieta,5647.1
2024-01-09,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-10,412.5,166.4,350.0,192.0,30.0,150.0,4,300.0,193.5,Legieta,5697.1
2024-01-11,412.5,166.4,350.0,192.0,30.0,150.0,4,300.0,193.5,Legieta,5697.1
2024-01-12,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-13,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-14,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-15,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-16,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-17,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-18,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-19,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-20,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-21,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-22,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-23,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-24,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-25,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-26,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-27,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-28,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-29,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-30,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-01-31,412.5,166.4,350.0,192.0,30.0,150.0,3,250.0,193.5,Legieta,4346.200000000001
2024-02-01,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-02,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-03,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-04,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-05,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-06,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-07,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-08,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-09,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-10,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-11,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-12,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-13,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-14,410.0,176.0,350.0,192.0,30.0,150.0,4,250.0,173.0,Legieta,5655.0
2024-02-15,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-16,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-17,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-18,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-19,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-20,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-21,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-22,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-23,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-24,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-25,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-26,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-27,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-28,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-02-29,410.0,176.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4347.0
2024-03-01,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-02,439.25,134.0,350.0,192.0,30.0,150.0,4,250.0,173.0,Legieta,5604.0
2024-03-03,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-04,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-05,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-06,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-07,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-08,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-09,439.25,134.0,350.0,192.0,30.0,150.0,4,250.0,173.0,Legieta,5604.0
2024-03-10,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-11,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-12,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-13,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-14,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-15,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-16,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-17,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-18,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-19,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-20,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-21,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-22,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-23,439.25,134.0,350.0,192.0,30.0,150.0,3,250.0,173.0,Legieta,4308.75
2024-03-24,439.25,134.0,350.0,192.0,30.0,150.0,3,700.0,173.0,Legieta,4758.75
2024-03-25,439.25,134.0,350.0,192.0,30.0,150.0,3,700.0,173.0,Legieta,4758.75
